Sample	DupRadar_mqc-generalstats-dupradar-dupRadar_intercept	Biotype Counts_mqc-generalstats-biotype_counts-percent_rRNA	featureCounts_mqc-generalstats-featurecounts-percent_assigned	featureCounts_mqc-generalstats-featurecounts-Assigned	STAR_mqc-generalstats-star-uniquely_mapped_percent	STAR_mqc-generalstats-star-uniquely_mapped	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
QBICK025A0	0.034301144157124	0.001507973102642	78.7203622801801	24729498	92.73	27554268	0.939120814577246	56.4827076181134	48	51	9.09090909090909	29726153
QBICK026A8	0.043804390876854	0.001507733508841	77.927811889103	26324205	91.6	29305174	0.934482471156317	54.180076900586	48	51	18.1818181818182	32006318
QBICK027AG	0.083000803983301	0.001407203372681	76.4301432041718	23913185	91.06	26551750	0.942719761825622	61.0715217989761	49	51	9.09090909090909	29170863
QBICK028AO	0.03085886571026	0.00158198987348	79.204198934291	19633140	93.31	21800129	1.06454982148107	49.2115905010523	48	51	9.09090909090909	23374288
QBICK029AW	0.036847677533664	0.000984646912707	78.8338141173383	24729849	93.25	27630418	0.933932771228048	50.8860417972524	48	51	18.1818181818182	29643222
QBICK030A1	0.040438525225833	0.002196972518285	78.3275757497306	25474855	93.49	28949372	1.05662388318029	49.8284895566211	48	51	9.09090909090909	30978083
QBICK031A9	0.034301144157124	0.001507973102642	78.7203622801801	24729498	92.73	27554268	0.939120814577246	56.4827076181134	48	51	9.09090909090909	29726153
QBICK032AH	0.043804390876854	0.001507733508841	77.927811889103	26324205	91.6	29305174	0.934482471156317	54.180076900586	48	51	18.1818181818182	32006318
QBICK033AP	0.083000803983301	0.001407203372681	76.4301432041718	23913185	91.06	26551750	0.942719761825622	61.0715217989761	49	51	9.09090909090909	29170863
QBICK034AX	0.03085886571026	0.00158198987348	79.204198934291	19633140	93.31	21800129	1.06454982148107	49.2115905010523	48	51	9.09090909090909	23374288
QBICK035A7	0.036847677533664	0.000984646912707	78.8338141173383	24729849	93.25	27630418	0.933932771228048	50.8860417972524	48	51	18.1818181818182	29643222
QBICK036AF	0.040438525225833	0.002196972518285	78.3275757497306	25474855	93.49	28949372	1.05662388318029	49.8284895566211	48	51	9.09090909090909	30978083
QBICK037AN	0.034301144157124	0.001507973102642	78.7203622801801	24729498	92.73	27554268	0.939120814577246	56.4827076181134	48	51	9.09090909090909	29726153
QBICK038AV	0.043804390876854	0.001507733508841	77.927811889103	26324205	91.6	29305174	0.934482471156317	54.180076900586	48	51	18.1818181818182	32006318
QBICK039A5	0.083000803983301	0.001407203372681	76.4301432041718	23913185	91.06	26551750	0.942719761825622	61.0715217989761	49	51	9.09090909090909	29170863
QBICK040A8	0.03085886571026	0.00158198987348	79.204198934291	19633140	93.31	21800129	1.06454982148107	49.2115905010523	48	51	9.09090909090909	23374288
QBICK041AG	0.036847677533664	0.000984646912707	78.8338141173383	24729849	93.25	27630418	0.933932771228048	50.8860417972524	48	51	18.1818181818182	29643222
QBICK042AO	0.040438525225833	0.002196972518285	78.3275757497306	25474855	93.49	28949372	1.05662388318029	49.8284895566211	48	51	9.09090909090909	30978083
QBICK043AW	0.034301144157124	0.001507973102642	78.7203622801801	24729498	92.73	27554268	0.939120814577246	56.4827076181134	48	51	9.09090909090909	29726153
QBICK044A6	0.043804390876854	0.001507733508841	77.927811889103	26324205	91.6	29305174	0.934482471156317	54.180076900586	48	51	18.1818181818182	32006318
QBICK045AE	0.083000803983301	0.001407203372681	76.4301432041718	23913185	91.06	26551750	0.942719761825622	61.0715217989761	49	51	9.09090909090909	29170863
QBICK046AM	0.03085886571026	0.00158198987348	79.204198934291	19633140	93.31	21800129	1.06454982148107	49.2115905010523	48	51	9.09090909090909	23374288
QBICK047AU	0.036847677533664	0.000984646912707	78.8338141173383	24729849	93.25	27630418	0.933932771228048	50.8860417972524	48	51	18.1818181818182	29643222
QBICK048A4	0.040438525225833	0.002196972518285	78.3275757497306	25474855	93.49	28949372	1.05662388318029	49.8284895566211	48	51	9.09090909090909	30978083
